Gene1        Gene2        Direction    Correlation  Distant?     Distance     
CREB5        FOXP1        1            0.77465      1            -1           
CREB5        RFX3         1            0.90741      1            -1           
CREB5        RFX4         1            0.7813       1            -1           
CREB5        DEAF1        -1           -0.90567     1            -1           
CREB5        RUNX2        1            0.78842      1            -1           
CREB5        SOX21        1            0.90936      1            -1           
CREB5        SOX5         1            0.79034      1            -1           
CREB5        TP63         1            -0.87246     1            -1           
CREB5        CDX1         0            -0.78938     1            -1           
CREB5        DMRT1        1            -0.75914     1            -1           
CREB5        DMRT2        1            -0.88171     1            -1           
CREB5        DMRT3        1            -0.79907     1            -1           
CREB5        GATA3        0            -0.84164     1            -1           
CREB5        HMBOX1       0            0.82565      1            -1           
CREB5        HOXD13       1            0.75204      1            -1           
CREB5        HOXD9        1            0.75421      1            -1           
CREB5        IRX2         1            -0.78173     1            -1           
CREB5        ISL1         1            -0.77902     1            -1           
EGR1         SREBF1       1            0.9077       1            -1           
EGR1         ALX1         1            -0.80397     1            -1           
EGR1         SPI1         0            0.81997      1            -1           
EGR1         CEBPZ        1            0.90491      1            -1           
EGR1         CTF1         1            0.80107      1            -1           
EGR1         GTF2I        1            0.92886      1            -1           
EGR1         SREBF2       0            0.86715      1            -1           
EGR1         ARNT         -1           0.82686      1            -1           
EGR1         YY1          0            0.82595      1            -1           
EGR1         RARA         0            0.8062       1            -1           
EGR1         THRA         0            0.77046      1            -1           
EGR1         NFATC3       0            0.75657      1            -1           
EGR1         ATF3         1            0.82898      1            -1           
EGR1         EBF1         1            -0.92874     1            20725608     
EGR1         ATF7         0            0.85901      1            -1           
EGR1         ZNF143       1            0.78027      1            -1           
EGR1         NFE2         1            0.77717      1            -1           
EGR1         HOXB1        1            0.83438      1            -1           
EGR1         ERF          1            0.76946      1            -1           
EGR1         GTF2IRD1     1            0.83497      1            -1           
EGR1         SOX10        0            0.79852      1            -1           
EGR1         SOX11        1            -0.79729     1            -1           
EGR1         DLX2         1            0.75588      1            -1           
EGR1         EMX2         1            -0.80824     1            -1           
EGR1         HOXB3        1            0.83524      1            -1           
EGR1         STAT2        0            0.79217      1            -1           
EGR1         HIVEP2       1            0.80001      1            -1           
EGR1         EP300        -1           0.76091      1            -1           
EGR1         GATA2        1            0.78504      1            -1           
EGR1         ESRRB        1            -0.82375     1            -1           
EGR1         ETV4         -1           0.76873      1            -1           
EGR1         FOXJ1        1            0.80398      1            -1           
EGR1         HOXB13       0            0.87789      1            -1           
EGR1         HOXD13       1            -0.79375     1            -1           
EGR1         HOXD1        1            -0.7606      1            -1           
EGR1         ING4         0            0.7525       1            -1           
EGR1         ZNF384       0            0.7553       1            -1           
EGR1         OVOL2        1            0.78172      1            -1           
EGR1         ZNF354C      1            -0.85885     1            40686426     
EGR2         WT1          -1           0.91327      1            -1           
EGR2         ZFP42        -1           -0.85878     1            -1           
EGR2         ZNF219       -1           -0.91432     1            -1           
EGR2         GATA1        -1           -0.92733     1            -1           
EGR2         IRF8         -1           0.80397      1            -1           
EGR2         TFAP2A       -1           -0.92447     1            -1           
EGR2         TFAP2C       -1           -0.84643     1            -1           
EGR2         TRIM28       -1           -0.83237     1            -1           
EGR2         NFIB         -1           0.7639       1            -1           
EGR2         NFIX         -1           -0.84402     1            -1           
EGR2         CTCF         -1           -0.76536     1            -1           
EGR2         ARID5B       -1           0.7514       0            915114       
EGR2         MAD1L1       -1           0.81793      1            -1           
EGR2         MITF         -1           0.94501      1            -1           
EGR2         MXD3         -1           -0.8032      1            -1           
EGR2         MYCN         -1           -0.92033     1            -1           
EGR2         NHLH1        -1           -0.92599     1            -1           
EGR2         TFE3         -1           -0.94959     1            -1           
EGR2         USF1         -1           -0.88238     1            -1           
EGR2         ZEB1         -1           0.94019      1            32968026     
EGR2         MZF1         -1           -0.86607     1            -1           
EGR2         NR1I3        -1           -0.92519     1            -1           
EGR2         PITX2        -1           0.82294      1            -1           
EGR2         RORA         -1           -0.87383     1            -1           
EGR2         CEBPA        -1           -0.88663     1            -1           
EGR2         CEBPG        -1           -0.7909      1            -1           
EGR2         MTF1         -1           -0.82254     1            -1           
EGR2         NFATC4       -1           -0.84021     1            -1           
EGR2         SMAD1        -1           -0.89087     1            -1           
EGR2         SMAD2        -1           -0.87217     1            -1           
EGR2         SMAD4        -1           -0.94883     1            -1           
EGR2         SMAD7        -1           -0.80758     1            -1           
EGR2         TFDP1        -1           -0.80593     1            -1           
EGR2         TFDP2        -1           -0.85981     1            -1           
EGR2         ZNF350       -1           -0.8443      1            -1           
EGR2         POU2F1       -1           -0.81836     1            -1           
EGR2         FOXL1        -1           0.97448      1            -1           
EGR2         PRRX1        0            0.92201      1            -1           
EGR2         TEF          -1           -0.85506     1            -1           
EGR2         MEF2A        -1           0.92423      1            -1           
EGR2         ELK1         -1           -0.8425      1            -1           
EGR2         NANOG        -1           -0.85796     1            -1           
EGR2         POU3F1       -1           -0.82639     1            -1           
EGR2         IRF9         -1           -0.82036     1            -1           
EGR2         RUNX2        -1           0.8178       1            -1           
EGR2         GCM2         -1           -0.85417     1            -1           
EGR2         SOX12        -1           -0.83291     1            -1           
EGR2         SOX6         -1           0.87987      1            -1           
EGR2         SOX8         -1           0.82079      1            -1           
EGR2         SOX9         -1           0.76886      1            -1           
EGR2         XBP1         -1           -0.76923     1            -1           
EGR2         DLX2         -1           -0.75708     1            -1           
EGR2         TBX22        0            -0.78668     1            -1           
EGR2         TFCP2L1      -1           0.94603      1            -1           
EGR2         ZNF589       -1           -0.77629     1            -1           
EGR2         ZBTB33       -1           -0.91003     1            -1           
EGR2         NR2C2        -1           -0.84147     1            -1           
EGR2         MECP2        -1           -0.94008     1            -1           
EGR2         FOXP3        -1           -0.87708     1            -1           
EGR2         DMRT1        -1           -0.80417     1            -1           
EGR2         HNF1B        -1           -0.79506     1            -1           
EGR2         ELF3         -1           -0.75519     1            -1           
EGR2         TBX18        -1           0.96383      1            -1           
EGR2         ELF4         -1           -0.89971     1            -1           
EGR2         ELK3         -1           0.85424      1            -1           
EGR2         MNX1         -1           -0.80997     1            -1           
EGR2         EN1          -1           -0.80835     1            -1           
EGR2         GATA6        -1           0.88553      1            -1           
EGR2         ONECUT2      -1           -0.8983      1            -1           
EGR2         FOXF1        -1           0.96777      1            -1           
EGR2         FOXJ2        -1           -0.79797     1            -1           
EGR2         GTF2A1       -1           -0.81356     1            -1           
EGR2         SIX4         -1           -0.76013     1            -1           
EGR2         LHX5         -1           -0.77445     1            -1           
EGR2         MECOM        -1           0.77414      1            -1           
EGR2         FOXO4        -1           -0.86981     1            -1           
EGR2         IRX4         -1           -0.87334     1            -1           
EGR2         POU3F4       0            -0.76816     1            -1           
EGR2         MEOX1        -1           0.78491      1            -1           
EGR2         SIX1         -1           -0.7802      1            -1           
EGR2         VSX1         -1           -0.81969     1            -1           
EGR2         TFEC         0            0.86479      1            -1           
EGR3         PITX1        0            0.79699      1            -1           
EGR3         SRF          -1           0.85155      1            -1           
EGR3         BHLHE40      1            0.81829      1            -1           
EGR3         BRF1         1            0.7972       1            -1           
EGR3         NFYA         1            -0.93893     1            -1           
EGR3         NFYC         0            -0.79865     1            -1           
EGR3         BARHL1       1            -0.82463     1            -1           
EGR3         BARX1        1            -0.7973      1            -1           
EGR3         NR6A1        -1           0.82911      1            -1           
EGR3         SOX15        -1           0.77733      1            -1           
EGR3         DBP          0            0.82399      1            -1           
EGR3         DLX3         -1           0.88756      1            -1           
EGR3         DLX4         -1           0.89364      1            -1           
EGR3         EHF          1            0.91074      1            -1           
EGR3         ELF5         1            0.89524      1            -1           
EGR3         GTF2A2       1            -0.75585     1            -1           
EGR3         LMX1B        1            -0.82401     1            -1           
EGR3         RB1          1            0.78677      1            -1           
EGR4         ZBTB6        1            0.87218      1            -1           
EGR4         RREB1        0            -0.89066     1            -1           
EGR4         TBX5         1            0.78505      1            -1           
EGR4         FOXD3        0            0.85035      1            -1           
EGR4         GBX2         -1           0.84069      1            163555823    
EGR4         HOXC4        -1           -0.88739     1            -1           
EGR4         RB1          1            -0.81431     1            -1           
EGR4         VAX2         0            0.77163      0            2393110      
KLF11        SP4          1            -0.87596     1            -1           
KLF11        NKX2-1       1            -0.94318     1            -1           
KLF11        NR2F1        1            -0.85864     1            -1           
KLF11        PRDM1        1            -0.80464     1            -1           
KLF11        CNOT3        0            -0.79423     1            -1           
KLF11        FOXG1        1            -0.77856     1            -1           
KLF11        ARID5B       1            0.81887      1            -1           
KLF11        MXD3         0            -0.84558     1            -1           
KLF11        MYC          1            -0.76727     1            -1           
KLF11        MYF5         1            -0.85922     1            -1           
KLF11        MYF6         1            -0.85695     1            -1           
KLF11        MYOD1        1            -0.75457     1            -1           
KLF11        PDX1         1            -0.82381     1            -1           
KLF11        RXRA         1            0.78951      1            -1           
KLF11        TFF3         1            0.81476      1            -1           
KLF11        ZIC2         0            -0.85265     1            -1           
KLF11        ATOH1        1            -0.77614     1            -1           
KLF11        NEUROD1      1            0.83557      1            172361711    
KLF11        NR1H2        1            -0.8486      1            -1           
KLF11        ARX          1            -0.93371     1            -1           
KLF11        EPAS1        1            0.91455      1            36340859     
KLF11        OTX2         1            -0.87506     1            -1           
KLF11        SOX2         1            -0.86193     1            -1           
KLF11        PAX4         1            -0.9615      1            -1           
KLF11        MTF1         1            -0.75152     1            -1           
KLF11        FOSL2        1            0.90708      1            18432097     
KLF11        JUNB         1            -0.7652      1            -1           
KLF11        E2F8         1            0.82862      1            -1           
KLF11        SMAD5        1            0.9099       1            -1           
KLF11        TFDP1        1            -0.88944     1            -1           
KLF11        FOXA1        1            -0.90947     1            -1           
KLF11        FOXA2        1            -0.79601     1            -1           
KLF11        BCL6         1            0.80734      1            -1           
KLF11        HNF4G        1            -0.77998     1            -1           
KLF11        POU3F2       1            -0.86646     1            -1           
KLF11        BACH1        1            0.77973      1            -1           
KLF11        BACH2        1            -0.85948     1            -1           
KLF11        NKX2-2       1            -0.88214     1            -1           
KLF11        BARHL2       1            -0.8332      1            -1           
KLF11        PAX6         1            -0.88205     1            -1           
KLF11        CDX2         1            -0.83375     1            -1           
KLF11        ERF          0            -0.76806     1            -1           
KLF11        ERG          1            0.7884       1            -1           
KLF11        ETS2         1            0.77557      1            -1           
KLF11        ETV7         -1           0.98297      1            -1           
KLF11        POU3F3       1            -0.93078     1            95288287     
KLF11        POU4F1       1            -0.92637     1            -1           
KLF11        DMBX1        0            -0.76182     1            -1           
KLF11        RUNX1        1            0.87244      1            -1           
KLF11        SOX3         1            -0.80985     1            -1           
KLF11        SOX8         1            0.86521      1            -1           
KLF11        SOX9         1            0.90298      1            -1           
KLF11        EOMES        1            -0.89464     1            -1           
KLF11        PAX8         1            0.92629      1            103852817    
KLF11        CLOCK        1            -0.84682     1            -1           
KLF11        SPIB         1            -0.88065     1            -1           
KLF11        TLX2         0            -0.78725     1            64557914     
KLF11        DLX5         1            -0.91423     1            -1           
KLF11        HES1         1            0.94544      1            -1           
KLF11        DDIT3        0            -0.82926     1            -1           
KLF11        HOMEZ        0            -0.89329     1            -1           
KLF11        MNX1         1            -0.79414     1            -1           
KLF11        ONECUT1      1            -0.82516     1            -1           
KLF11        ZIC3         1            -0.91056     1            -1           
KLF11        SIX4         1            -0.84252     1            -1           
KLF11        NKX6-2       1            0.86836      1            -1           
KLF11        LHX5         1            -0.78697     1            -1           
KLF11        ISX          1            0.77317      1            -1           
KLF11        FOXJ3        1            0.92647      1            -1           
KLF11        MEF2C        1            -0.90117     1            -1           
KLF11        MSX2         1            0.76612      1            -1           
KLF11        NKX3-2       1            -0.9204      1            -1           
KLF11        GZF1         1            -0.92672     1            -1           
KLF11        POU3F4       1            -0.77445     1            -1           
KLF11        NR4A2        1            -0.80273     1            147005606    
KLF11        PAX7         1            -0.7826      1            -1           
KLF11        SATB1        1            -0.92939     1            -1           
KLF11        VAX1         1            -0.79299     1            -1           
KLF11        RORB         1            -0.80759     1            -1           
KLF11        SHOX2        1            -0.8119      1            -1           
KLF11        SIX1         1            -0.86419     1            -1           
KLF11        SIX2         1            -0.835       1            35052861     
KLF11        SIX3         1            -0.82029     1            34985355     
KLF11        SIX6         1            -0.81044     1            -1           
KLF11        ZIC1         1            -0.88658     1            -1           
KLF4         IRF1         -1           0.91296      1            -1           
KLF4         IRF7         -1           0.75378      1            -1           
KLF4         NR2F1        0            -0.87309     1            -1           
KLF4         ALX3         -1           0.90421      1            -1           
KLF4         HAND2        0            -0.78249     1            -1           
KLF4         PDX1         0            -0.87589     1            -1           
KLF4         PPARG        -1           0.77213      1            -1           
KLF4         ATOH1        1            -0.83009     1            -1           
KLF4         NR5A2        0            -0.83895     1            -1           
KLF4         ARNTL        -1           0.77754      1            -1           
KLF4         PKNOX2       -1           -0.79199     1            -1           
KLF4         TGIF1        -1           -0.77406     1            -1           
KLF4         ATF2         -1           -0.85581     1            -1           
KLF4         FOSL2        -1           0.8013       1            -1           
KLF4         FLI1         -1           -0.84201     1            -1           
KLF4         FOXD1        0            -0.83986     1            -1           
KLF4         IKZF2        1            0.8921       1            -1           
KLF4         NR0B1        1            0.9079       1            -1           
KLF4         FOXP1        0            -0.90025     1            -1           
KLF4         PBX3         -1           -0.84337     1            18257569     
KLF4         PAX6         0            -0.87005     1            -1           
KLF4         CDX2         0            -0.85656     1            -1           
