Gene1        Gene2        Direction    Correlation  Distant?     Distance     
IRF3         HINFP        -1           0.80955      1            -1           
IRF3         ING4         -1           0.88176      1            -1           
IRF3         ZNF384       -1           0.87519      1            -1           
IRF3         VSX2         -1           0.80557      1            -1           
IRF3         LHX3         0            0.83492      1            -1           
IRF3         FOXN1        -1           0.79054      1            -1           
IRF4         NR1I2        -1           -0.75534     1            -1           
IRF5         CTF1         1            0.75864      1            -1           
IRF5         MAZ          0            0.86185      1            -1           
IRF5         HIC1         1            0.75424      1            -1           
IRF5         STAT3        0            0.79843      1            -1           
IRF5         CTCF         0            0.78121      1            -1           
IRF5         ZBTB7A       1            0.76125      1            -1           
IRF5         TGIF2        0            0.80508      1            -1           
IRF5         TFCP2        0            0.85836      1            -1           
IRF5         CEBPB        0            0.79807      1            -1           
IRF5         HIF1A        1            0.76451      1            -1           
IRF5         RARA         0            0.75902      1            -1           
IRF5         THRA         0            0.80455      1            -1           
IRF5         FOSB         1            0.77645      1            -1           
IRF5         JUNB         1            0.80812      1            -1           
IRF5         E2F4         0            0.82946      1            -1           
IRF5         SMAD3        0            0.81809      1            -1           
IRF5         TFAP4        1            0.9045       1            -1           
IRF5         FOXA3        1            0.82415      1            -1           
IRF5         FOXM1        1            0.79437      1            -1           
IRF5         ZNF143       0            0.80539      1            -1           
IRF5         MAFK         1            0.75806      1            126995314    
IRF5         NR2F6        1            0.7596       1            -1           
IRF5         ZNF628       1            0.84138      1            -1           
IRF5         NR4A1        0            0.90335      1            -1           
IRF5         STAT5A       0            0.80745      1            -1           
IRF5         STAT5B       0            0.79051      1            -1           
IRF5         ELK4         0            0.78614      1            -1           
IRF5         NR6A1        0            0.77481      1            -1           
IRF5         RFXANK       0            0.81535      1            -1           
IRF5         SOX15        0            0.84693      1            -1           
IRF5         SOX18        0            0.76013      1            -1           
IRF5         TP53         0            0.85617      1            -1           
IRF5         ZNF589       0            0.77076      1            -1           
IRF5         STAT6        0            0.79003      1            -1           
IRF5         MAFA         1            0.77116      1            -1           
IRF5         PITX3        0            0.79818      1            -1           
IRF5         DBP          1            0.81093      1            -1           
IRF5         PPARD        0            0.81628      1            -1           
IRF5         DDIT3        0            0.75452      1            -1           
IRF5         POU6F1       1            0.89684      1            -1           
IRF5         HINFP        0            0.88166      1            -1           
IRF5         PRRX2        1            0.75988      1            -1           
IRF5         VSX2         0            0.77063      1            -1           
IRF5         FOXN1        1            0.86607      1            -1           
IRF7         SPI1         0            0.82489      1            46784128     
IRF7         GTF2I        0            0.80234      1            -1           
IRF7         NFIX         0            0.76871      1            -1           
IRF7         STAT3        -1           0.75266      1            -1           
IRF7         CTCF         0            0.80546      1            -1           
IRF7         MXD3         0            0.82716      1            -1           
IRF7         NR1H3        0            0.77241      1            46663468     
IRF7         THRA         0            0.81936      1            -1           
IRF7         FOSB         1            0.77565      1            -1           
IRF7         ATF4         0            0.79045      1            -1           
IRF7         SMAD6        0            0.80815      1            -1           
IRF7         ATF7         0            0.78011      1            -1           
IRF7         RFX1         0            0.80704      1            -1           
IRF7         MAFF         -1           0.85012      1            -1           
IRF7         STAT5A       -1           0.76987      1            -1           
IRF7         DMBX1        -1           0.76098      1            -1           
IRF7         RFX5         0            0.75191      1            -1           
IRF7         CBFB         -1           0.78021      1            -1           
IRF7         DEAF1        0            0.98458      0            79741        
IRF7         GTF2IRD1     0            0.83024      1            -1           
IRF7         SOX10        0            0.81775      1            -1           
IRF7         XBP1         0            0.7778       1            -1           
IRF7         RELA         0            0.76167      1            64814444     
IRF7         STAT2        0            0.77567      1            -1           
IRF7         GLI1         0            0.75053      1            -1           
IRF7         ELF3         0            0.84026      1            -1           
IRF7         FOXJ1        0            0.81486      1            -1           
IRF8         ATF1         0            0.8212       1            -1           
IRF8         POU4F1       1            -0.77093     1            -1           
NKX2-1       ARID5B       0            -0.75844     1            -1           
NKX2-1       ATOH1        0            0.81656      1            -1           
NKX2-1       NEUROD1      0            -0.7892      1            -1           
NKX2-1       EPAS1        -1           -0.78817     1            -1           
NKX2-1       OTX2         0            0.89037      1            20283478     
NKX2-1       ZNF350       0            0.76295      1            -1           
NKX2-1       NKX2-2       0            0.75298      1            -1           
NKX2-1       BARHL2       0            0.82785      1            -1           
NR2F1        SOX2         0            0.81433      1            -1           
NR2F1        POU3F3       1            0.75292      1            -1           
NR2F1        MEF2C        0            0.76721      1            4739759      
NR2F1        NKX3-2       0            0.79347      1            -1           
NR3C1        POU2F1       0            -0.78454     1            -1           
PRDM1        NFYA         0            0.75198      1            65493488     
PRDM1        OTX2         0            0.80544      1            -1           
PRDM1        FOXD3        0            0.77907      1            -1           
PRDM1        IRX6         1            -0.75075     1            -1           
PURA         NKX2-5       1            0.75484      1            33168608     
PURA         TFCP2L1      0            0.76403      1            -1           
REST         SPI1         -1           0.75784      1            -1           
REST         GTF2I        -1           0.76176      1            -1           
REST         RXRG         0            -0.75476     1            -1           
REST         FOSB         -1           0.75492      1            -1           
REST         ZNF143       -1           0.79793      1            -1           
REST         RFX5         -1           0.75551      1            -1           
REST         LMX1A        0            -0.77152     1            -1           
