Gene1        Gene2        Direction    Correlation  Distant?     Distance     
EGR4         MYOD1        1            0.77547      1            -1           
EGR4         NR1H4        1            -0.78372     1            -1           
EGR4         PBX1         1            -0.83654     1            -1           
EGR4         PPARG        1            0.83996      1            -1           
EGR4         BRF1         0            0.84873      1            -1           
EGR4         IKZF1        1            0.81406      1            -1           
EGR4         PITX2        1            -0.86071     1            -1           
EGR4         NFYA         -1           0.77862      1            -1           
EGR4         ZBTB6        1            0.85972      1            -1           
EGR4         CEBPG        1            0.79176      1            -1           
EGR4         EPAS1        1            0.75799      1            26996289     
EGR4         FOSL2        0            0.82399      1            44905051     
EGR4         BCL6         1            0.85314      1            -1           
EGR4         NFE2L2       1            -0.79748     1            104609030    
EGR4         BARHL2       1            -0.89494     1            -1           
EGR4         BARX1        1            0.80341      1            -1           
EGR4         FOXL1        1            0.75586      1            -1           
EGR4         ETV7         -1           0.751        1            -1           
EGR4         NKX2-5       0            0.79174      1            -1           
EGR4         RFX2         0            0.85922      1            -1           
EGR4         RFX3         1            -0.76259     1            -1           
EGR4         TFCP2L1      0            0.78285      1            48521949     
EGR4         NR2C2        0            0.82561      1            -1           
EGR4         ONECUT1      0            0.84229      1            -1           
EGR4         ZIC3         1            -0.77383     1            -1           
EGR4         FOXJ3        1            0.76684      1            -1           
EGR4         IRX4         1            0.78031      1            -1           
EGR4         OTP          1            -0.83573     1            -1           
EGR4         SATB1        1            -0.8838      1            -1           
KLF11        RAX          1            -0.80823     1            -1           
KLF11        IRF1         1            0.90623      1            -1           
KLF11        NFIC         1            0.92743      1            -1           
KLF11        NFKB1        1            0.83066      1            -1           
KLF11        LMO2         1            0.78161      1            -1           
KLF11        MAD1L1       1            0.80034      1            -1           
KLF11        MXD4         0            0.85486      1            -1           
KLF11        NR1H4        1            -0.76368     1            -1           
KLF11        PBX1         1            -0.7632      1            -1           
KLF11        TCF3         1            0.7589       1            -1           
KLF11        PPARA        1            0.96356      1            -1           
KLF11        ZBTB7A       1            0.86126      1            -1           
KLF11        NFYA         -1           0.88269      1            -1           
KLF11        CEBPA        1            0.92204      1            -1           
KLF11        FOSL1        1            0.79417      1            -1           
KLF11        FOSL2        1            0.83753      1            18432097     
KLF11        TFDP2        1            0.83244      1            -1           
KLF11        NRF1         0            0.84845      1            -1           
KLF11        MAFK         1            0.9505       1            -1           
KLF11        NR0B1        1            -0.80085     1            -1           
KLF11        NR4A1        0            0.7864       1            -1           
KLF11        HOXC6        1            0.82772      1            -1           
KLF11        ESR2         1            0.83322      1            -1           
KLF11        HMGA1        0            0.90748      1            -1           
KLF11        HMGA2        1            -0.82162     1            -1           
KLF11        ELK1         1            0.84082      1            -1           
KLF11        ETV7         -1           0.77923      1            -1           
KLF11        NR6A1        0            0.78945      1            -1           
KLF11        NKX2-5       1            0.90818      1            -1           
KLF11        RFX2         0            0.78492      1            -1           
